"","x"
"0%",171685336
"10%",195829744.5
"20%",213340505
"30%",230578701.1
"40%",249796212.2
"50%",273437327
"60%",297797103.8
"70%",319691626.5
"80%",324257251.6
"90%",327686860.6
"100%",331002651
