"","x"
"0%",115375863
"10%",139764483.4
"20%",157137349
"30%",170420479.2
"40%",188005115.4
"50%",214084157.5
"60%",238573340.8
"70%",260088737.5
"80%",265243434.4
"90%",269560474
"100%",273975139
